nombre,id,lat,lon
Pupuseria Madrid La Ceiba,ChIJjd9Ey70nQg0RNoLCzsqzd-s,40.3858634,-3.7207163
Restaurante Asgaya,ChIJn5XQXpUnQg0RsK2Hryw7LI4,40.39096199999999,-3.7232947
Restaurantes Recomendados en Carabanchel,ChIJI85qHAAnQg0ROMaXoXnBYDI,40.3858912,-3.7212588
Restaurante Travesía,ChIJgYeWi2gnQg0RkAMgOLwxCMM,40.3856228,-3.7196552
CEVICHERIA LA CONCHA DE LOS MARES,ChIJPb2Z08MnQg0R5om4sZP-xz0,40.38569369999999,-3.7206427
La Bodeguita Cubana,ChIJHWC8WkcnQg0RqquFFvY6lJU,40.3915544,-3.723010299999999
Healthy Poke San Miguel,ChIJpcb39TcnQg0R_nBchAMHPXs,40.3924814,-3.7179116
Bar restaurante El Cubanito,ChIJ67Uq6MEnQg0RK8d6N6u57MA,40.3917973,-3.722838599999999
Bingo Oporto,ChIJgyNpYZYnQg0RGjlXrXkkFm0,40.38537349999999,-3.718939499999999
Bar Cafetería Yakarta,ChIJXU_adbwnQg0RTpBVq889_I0,40.3853903,-3.7182883
Larimar Bar-Restaurante,ChIJe-HaEegnQg0RBamf2QVCz0w,40.3907089,-3.7242119
Hola India,ChIJt6NGyuonQg0RgeCaoz0ifRU,40.3920381,-3.7245651
"Bar Allande - Cafetería, Cervecería y Restaurante",ChIJc9W4A8AnQg0RaHMAtmlmMFw,40.3922432,-3.7229229
HERMANOS CASTILLO 3,ChIJuxkvXCQnQg0Rro_0Xs6oaAE,40.3905875,-3.7246783
Restaurante Sabór del Chef,ChIJKbBckZsnQg0RoLc0DrwC4Eo,40.39174689999999,-3.7241325
Jama Fusion Carabanchel,ChIJSZ2snvcnQg0RilbpCer9lGE,40.3915394,-3.724329999999999
Cafetería Lemberg,ChIJ4cwuVj0nQg0RUnSuWzpbVao,40.38508270000001,-3.7172975
La Parrilla de Usera,ChIJ3VDNNrMnQg0RHzD7Rgjpru4,40.3858014,-3.703238299999999
Restaurante A'barca Muxia,ChIJaQGHS00mQg0Re8LP9GIl64Y,40.3834426,-3.702716499999999
Restaurante La Barca,ChIJRxrSJbAnQg0RlNvxJKrfMNQ,40.3824018,-3.711368099999999
Restaurante Royal Cantonés,ChIJN9TYUU0mQg0Rs_Wg6zJ2ZEM,40.3830722,-3.7025694
Restaurante Zagros,ChIJf17927MnQg0RNo9Fs6xpQmA,40.38571659999999,-3.707619299999999
Domino's Pizza,ChIJH-H1j8knQg0Roqk8VGt3U44,40.3942,-3.70861
El Fogon De Usera,ChIJFZWXBLQnQg0RuC81wH4SkpA,40.38788489999999,-3.7076322
Burger King,ChIJ0QZb9LMnQg0R3x335Es54AE,40.3855155,-3.708449399999999
Namaste India,ChIJfRaqCMonQg0RfrB2ptqmb-A,40.3927644,-3.707263599999999
聚汇美食坊,ChIJocO7xbMnQg0Raw0M-jNvsGs,40.38527370000001,-3.7070854
Kebab Mirasierra,ChIJXZL8x7QnQg0RTx0VTiMWQbE,40.3885192,-3.7038768
Bar restaurante Casa Ciri,ChIJ85YNQbMnQg0RcC-lWAFqfUU,40.38635479999999,-3.7039673
Tienda,ChIJt5-H5rAnQg0RrzMO6_B8y6g,40.3881395,-3.702763500000001
Feito Río,ChIJL5kRTLUnQg0RGPPeDF1t7ZM,40.3917597,-3.702968899999999
鹿港小镇小吃店,ChIJdbShJ7MnQg0RJmtFBQoqNkI,40.3849412,-3.703605099999999
El Deseo,ChIJ0SNmEbInQg0RxHogneqmeQ8,40.3830721,-3.7070699
Restaurante Brasayleña Plaza Río 2,ChIJTeGPCEwmQg0RuBakuGLtVqs,40.3913532,-3.7018241
